Item,Subject_Gender,Object_Gender,Word,WordNo,RT
13,match,match,slechts,5.0,370.6
13,match,match,één,6.0,314.0
13,match,match,kleinzoon,7.0,434.2
13,match,match,het,8.0,332.2
13,match,match,testament,9.0,413.2
13,match,match,lezen,10.0,291.2
13,match,match,voor,11.0,387.6
13,match,match,de,12.0,342.4
13,match,match,begrafenis.,13.0,617.6
13,match,match,Sinds,14.0,407.4
13,match,match,vorige,15.0,335.8
13,match,match,week,16.0,322.6
13,match,match,was,17.0,379.0
13,match,match,hij,18.0,319.8
13,match,match,erg,19.0,316.0
13,match,match,van,20.0,336.2
13,match,match,slag,21.0,339.8
13,match,match,geweest.,22.0,457.8
13,match,mis,De,1.0,408.4
13,match,mis,notaris,2.0,489.8
13,match,mis,liet,3.0,706.4
13,match,mis,aan,4.0,449.8
13,match,mis,slechts,5.0,555.0
13,match,mis,één,6.0,465.5
13,match,mis,��n,6.0,216.0
13,match,mis,kleindochter,7.0,670.6
13,match,mis,het,8.0,535.4
13,match,mis,testament,9.0,474.4
13,match,mis,lezen,10.0,484.2
13,match,mis,voor,11.0,507.2
13,match,mis,de,12.0,366.6
13,match,mis,begrafenis.,13.0,561.8
13,match,mis,Sinds,14.0,451.0
13,match,mis,vorige,15.0,395.6
13,match,mis,week,16.0,361.0
13,match,mis,was,17.0,367.2
13,match,mis,hij,18.0,364.8
13,match,mis,erg,19.0,353.2
13,match,mis,van,20.0,356.4
13,match,mis,slag,21.0,392.6
13,match,mis,geweest.,22.0,786.0
13,mis,match,De,1.0,398.0
13,mis,match,notaris,2.0,417.0
13,mis,match,liet,3.0,319.0
13,mis,match,aan,4.0,456.5
13,mis,match,slechts,5.0,479.0
13,mis,match,één,6.0,645.0
13,mis,match,kleindochter,7.0,801.5
13,mis,match,het,8.0,383.0
13,mis,match,testament,9.0,343.0
13,mis,match,lezen,10.0,919.5
13,mis,match,voor,11.0,372.5
13,mis,match,de,12.0,306.5
13,mis,match,begrafenis.,13.0,541.0
13,mis,match,Sinds,14.0,505.0
13,mis,match,vorige,15.0,477.0
13,mis,match,week,16.0,337.5
13,mis,match,was,17.0,270.5
13,mis,match,zij,18.0,320.0
13,mis,match,erg,19.0,384.5
13,mis,match,van,20.0,304.5
13,mis,match,slag,21.0,302.0
13,mis,match,geweest.,22.0,830.0
13,mis,mis,De,1.0,437.25
13,mis,mis,notaris,2.0,349.25
13,mis,mis,liet,3.0,402.75
13,mis,mis,aan,4.0,370.25
13,mis,mis,slechts,5.0,454.75
13,mis,mis,één,6.0,381.0
13,mis,mis,kleinzoon,7.0,457.25
13,mis,mis,het,8.0,475.75
13,mis,mis,testament,9.0,454.0
13,mis,mis,lezen,10.0,377.0
13,mis,mis,voor,11.0,353.0
13,mis,mis,de,12.0,388.75
13,mis,mis,begrafenis.,13.0,456.75
13,mis,mis,Sinds,14.0,435.25
13,mis,mis,vorige,15.0,406.0
13,mis,mis,week,16.0,386.75
13,mis,mis,was,17.0,363.0
13,mis,mis,zij,18.0,345.0
13,mis,mis,erg,19.0,350.0
13,mis,mis,van,20.0,480.5
13,mis,mis,slag,21.0,470.75
13,mis,mis,geweest.,22.0,564.5
14,match,match,De,1.0,474.0
14,match,match,verhuizer,2.0,340.0
14,match,match,sjouwde,3.0,354.0
14,match,match,voor,4.0,452.0
14,match,match,een,5.0,361.5
14,match,match,zanger,6.0,385.0
14,match,match,zware,7.0,461.5
14,match,match,apparatuur,8.0,403.5
14,match,match,die,9.0,491.0
14,match,match,namiddag.,10.0,1073.0
14,match,match,Al,11.0,341.0
14,match,match,heel,12.0,318.5
14,match,match,lang,13.0,326.5
14,match,match,had,14.0,322.5
14,match,match,hij,15.0,314.5
14,match,match,een,16.0,352.0
14,match,match,erg,17.0,344.0
14,match,match,zwakke,18.0,410.5
14,match,match,rug.,19.0,551.5
14,match,mis,De,1.0,538.5
14,match,mis,verhuizer,2.0,533.75
14,match,mis,sjouwde,3.0,479.0
14,match,mis,voor,4.0,478.0
14,match,mis,een,5.0,405.25
14,match,mis,zangeres,6.0,407.0
14,match,mis,zware,7.0,478.0
14,match,mis,apparatuur,8.0,411.0
14,match,mis,die,9.0,480.25
14,match,mis,namiddag.,10.0,427.75
14,match,mis,Al,11.0,526.0
14,match,mis,heel,12.0,375.25
14,match,mis,lang,13.0,348.5
14,match,mis,had,14.0,408.75
14,match,mis,hij,15.0,425.0
14,match,mis,een,16.0,362.0
14,match,mis,erg,17.0,366.25
14,match,mis,zwakke,18.0,440.75
