ItemNo,as.numeric(as.character(WordNo)),Word,RT
280,10.0,bij,378.74074074074076
280,11.0,de,327.962962962963
280,12.0,sportmasseur.,508.22222222222223
280,13.0,Diezelfde,481.77777777777777
280,14.0,avond,345.0740740740741
280,15.0,had,342.6666666666667
280,16.0,de,387.9259259259259
280,17.0,sportmasseur,374.55555555555554
280,18.0,zelf,377.3703703703704
280,19.0,spierpijn,385.44444444444446
280,20.0,gekregen.,462.34615384615387
281,1.0,Enkele,521.5185185185185
281,2.0,klanten,471.77777777777777
281,3.0,werden,496.74074074074076
281,4.0,die,438.22222222222223
281,5.0,ochtend,494.2962962962963
281,6.0,door,404.22222222222223
281,7.0,de,381.77777777777777
281,8.0,tandartsassistente,557.5555555555555
281,9.0,geholpen.,672.5555555555555
281,10.0,Dezelfde,482.5925925925926
281,11.0,week,410.14814814814815
281,12.0,had,365.85185185185185
281,13.0,de,342.962962962963
281,14.0,tandartsassistente,431.8888888888889
281,15.0,de,379.6666666666667
281,16.0,behandeling,412.5925925925926
281,17.0,ingepland.,581.7692307692307
282,1.0,Enkele,502.51851851851853
282,2.0,dorpsbewoners,678.9230769230769
282,3.0,gingen,514.7407407407408
282,4.0,die,402.962962962963
282,5.0,week,389.74074074074076
282,6.0,bij,401.18518518518516
282,7.0,de,365.1111111111111
282,8.0,bejaarde,370.77777777777777
282,9.0,dame,379.3333333333333
282,10.0,op,347.3333333333333
282,11.0,de,340.9259259259259
282,12.0,koffie.,656.2962962962963
282,13.0,Twee,413.44444444444446
282,14.0,weken,341.48148148148147
282,15.0,terug,365.25925925925924
282,16.0,was,346.18518518518516
282,17.0,de,334.0740740740741
282,18.0,bejaarde,349.9259259259259
282,19.0,dame,361.5925925925926
282,20.0,nog,341.81481481481484
282,21.0,erg,347.3703703703704
282,22.0,eenzaam.,548.0384615384615
283,1.0,Enkele,468.7037037037037
283,2.0,tieners,496.6296296296296
283,3.0,kregen,444.77777777777777
283,4.0,die,380.3333333333333
283,5.0,avond,372.81481481481484
283,6.0,van,370.18518518518516
283,7.0,de,347.25925925925924
283,8.0,nieuwslezer,427.1111111111111
283,9.0,over,457.4074074074074
283,10.0,de,357.15384615384613
283,11.0,ramp,368.22222222222223
283,12.0,te,375.85185185185185
283,13.0,horen.,584.2962962962963
283,14.0,Vlak,503.4074074074074
283,15.0,voor,349.7037037037037
283,16.0,de,367.48148148148147
283,17.0,uitzending,388.5925925925926
283,18.0,had,352.0
283,19.0,de,343.0740740740741
283,20.0,nieuwslezer,355.14814814814815
283,21.0,er,347.4074074074074
283,22.0,zelf,340.51851851851853
283,23.0,pas,349.85185185185185
283,24.0,over,338.77777777777777
283,25.0,te,353.48148148148147
283,26.0,horen,353.85185185185185
283,27.0,gekregen.,459.65384615384613
284,1.0,Enkele,442.74074074074076
284,2.0,meisjes,540.5185185185185
284,3.0,werd,504.14814814814815
284,4.0,die,436.962962962963
284,5.0,dag,477.44444444444446
284,6.0,door,353.77777777777777
284,7.0,de,357.3703703703704
284,8.0,orthodontist,440.9259259259259
284,9.0,een,389.7037037037037
284,10.0,plaatjesbeugel,389.81481481481484
284,11.0,aangeraden.,677.0
284,12.0,Een,462.22222222222223
284,13.0,paar,369.18518518518516
284,14.0,dagen,348.6666666666667
284,15.0,eerder,344.44444444444446
284,16.0,was,352.962962962963
284,17.0,de,339.85185185185185
284,18.0,orthodontist,386.85185185185185
284,19.0,hier,377.962962962963
284,20.0,nog,336.5925925925926
284,21.0,sceptisch,446.2962962962963
284,22.0,over.,507.8076923076923
285,1.0,Precies,449.0740740740741
285,2.0,twee,432.5925925925926
285,3.0,kinderen,400.6296296296296
285,4.0,werden,548.7037037037037
285,5.0,dat,399.51851851851853
285,6.0,jaar,363.85185185185185
285,7.0,door,360.77777777777777
285,8.0,de,338.4074074074074
285,9.0,pedagoge,433.3333333333333
285,10.0,behandeld.,620.6666666666666
285,11.0,Tijdens,520.0
285,12.0,die,387.55555555555554
285,13.0,behandelingen,422.5925925925926
285,14.0,had,380.18518518518516
285,15.0,de,349.22222222222223
285,16.0,pedagoge,388.3703703703704
285,17.0,veel,375.85185185185185
285,18.0,ervaring,395.1111111111111
285,19.0,opgedaan.,481.44
286,1.0,Twee,448.3703703703704
286,2.0,componisten,453.74074074074076
286,3.0,schreven,518.5185185185185
286,4.0,speciaal,412.96153846153845
286,5.0,voor,380.0740740740741
286,6.0,de,346.14814814814815
286,7.0,pianiste,378.1111111111111
286,8.0,een,390.18518518518516
286,9.0,nieuw,344.4074074074074
286,10.0,muziekstuk.,737.5555555555555
286,11.0,Al,521.7777777777778
286,12.0,maanden,337.1923076923077
286,13.0,was,322.4230769230769
286,14.0,de,345.7037037037037
286,15.0,pianiste,334.5925925925926
286,16.0,hiermee,369.962962962963
286,17.0,aan,351.037037037037
286,18.0,het,307.962962962963
286,19.0,oefenen.,484.3076923076923
287,1.0,Meer,469.77777777777777
287,2.0,dan,452.7037037037037
287,3.0,twee,395.8888888888889
287,4.0,leidinggevenden,589.2222222222222
287,5.0,gaven,518.7037037037037
287,6.0,die,481.14814814814815
287,7.0,dag,381.18518518518516
287,8.0,nieuw,406.74074074074076
287,9.0,materiaal,455.2962962962963
287,10.0,aan,381.6666666666667
287,11.0,de,352.81481481481484
287,12.0,schilder.,838.8148148148148
287,13.0,De,533.7037037037037
287,14.0,dag,363.7037037037037
287,15.0,ervoor,382.962962962963
287,16.0,had,386.77777777777777
287,17.0,de,346.48148148148147
287,18.0,schilder,370.51851851851853
287,19.0,daar,370.3125
287,19.0,daarom,359.0
287,20.0,gevraagd.,674.5454545454545
287,20.0,om,395.5625
287,21.0,gevraagd.,486.46666666666664
288,1.0,Slechts,486.5925925925926
288,2.0,twee,381.51851851851853
288,3.0,passagiers,382.2962962962963
288,4.0,kregen,464.77777777777777
288,5.0,tijdens,383.81481481481484
288,6.0,die,381.1111111111111
288,7.0,reis,371.85185185185185
288,8.0,van,336.962962962963
288,9.0,de,368.7037037037037
288,10.0,kok,355.1111111111111
288,11.0,wat,420.48148148148147
288,12.0,te,390.1111111111111
288,13.0,eten.,506.7037037037037
288,14.0,Al,426.0740740740741
288,15.0,na,342.0
288,16.0,een,351.81481481481484
288,17.0,kwartier,410.44444444444446
288,18.0,was,370.8888888888889
288,19.0,de,332.1111111111111
288,20.0,kok,338.85185185185185
288,21.0,in,349.55555555555554
288,22.0,slaap,375.6296296296296
288,23.0,gevallen.,475.5
289,1.0,Een,427.1111111111111
289,2.0,handvol,403.18518518518516
289,3.0,leden,441.6666666666667
289,4.0,had,448.74074074074076
289,5.0,bij,395.5925925925926
289,6.0,de,350.55555555555554
289,7.0,voorzitter,391.81481481481484
289,8.0,geklaagd,437.5925925925926
289,9.0,over,372.85185185185185
289,10.0,het,380.3333333333333
289,11.0,nieuwe,376.74074074074076
289,12.0,partijprogramma.,778.5384615384615
289,13.0,Meteen,549.5
289,14.0,daarna,355.9259259259259
289,15.0,was,348.3333333333333
289,16.0,de,315.22222222222223
289,17.0,voorzitter,363.14814814814815
289,18.0,in,381.77777777777777
289,19.0,overleg,390.962962962963
289,20.0,gegaan.,474.88461538461536
290,1.0,Een,476.48148148148147
290,2.0,aantal,428.3333333333333
290,3.0,lezers,372.1111111111111
290,4.0,vindt,379.8076923076923
290,5.0,de,419.81481481481484
290,6.0,columns,447.44444444444446
290,7.0,van,344.77777777777777
290,8.0,de,325.22222222222223
290,9.0,schrijver,386.7037037037037
290,10.0,nogal,369.9259259259259
290,11.0,onsamenhangend.,713.8888888888889
290,12.0,Al,505.5925925925926
290,13.0,een,476.3333333333333
290,14.0,aantal,419.55555555555554
290,15.0,jaar,355.51851851851853
290,16.0,had,372.44444444444446
290,17.0,de,358.3703703703704
290,18.0,schrijver,358.4074074074074
290,19.0,last,327.18518518518516
290,20.0,van,358.44444444444446
290,21.0,grootheidswaanzin.,771.1923076923077
291,1.0,De,386.0
291,2.0,meeste,390.4074074074074
291,3.0,mensen,437.7037037037037
291,4.0,vonden,380.14814814814815
291,5.0,achteraf,403.4074074074074
291,6.0,toch,384.3703703703704
291,7.0,dat,366.55555555555554
291,8.0,de,329.77777777777777
291,9.0,politicus,344.3703703703704
291,10.0,gelijk,370.5925925925926
291,11.0,had,359.14814814814815
291,12.0,gehad.,621.8888888888889
291,13.0,Op,453.962962962963
291,14.0,het,334.14814814814815
291,15.0,moment,349.77777777777777
291,16.0,zelf,344.3703703703704
291,17.0,was,352.22222222222223
291,18.0,de,325.14814814814815
291,19.0,politicus,327.3703703703704
291,20.0,nog,351.3703703703704
291,21.0,de,344.74074074074076
291,22.0,zondebok,402.962962962963
291,23.0,geweest.,462.6923076923077
292,1.0,Tweederde,548.2222222222222
292,2.0,van,457.51851851851853
292,3.0,de,414.48148148148147
292,4.0,studenten,434.5769230769231
292,5.0,heeft,387.22222222222223
292,6.0,een,373.9259259259259
292,7.0,hekel,435.51851851851853
292,8.0,aan,347.51851851851853
292,9.0,de,337.7037037037037
292,10.0,concièrge.,520.5
292,10.0,conci�rge.,730.2941176470588
292,11.0,Iedere,502.68
292,12.0,ochtend,466.51851851851853
292,13.0,wilde,338.6296296296296
292,14.0,de,374.22222222222223
292,15.0,concièrge,386.48
292,15.0,conci�rge,483.0
292,16.0,met,367.2962962962963
292,17.0,iedereen,372.77777777777777
292,18.0,een,373.25925925925924
292,19.0,praatje,390.5925925925926
292,20.0,maken.,487.3076923076923
293,1.0,Flink,438.55555555555554
293,2.0,wat,384.77777777777777
293,3.0,feministen,467.0740740740741
293,4.0,waren,424.4074074074074
293,5.0,verontwaardigd,453.0
293,6.0,over,419.4074074074074
293,7.0,de,352.25925925925924
293,8.0,opmerking,394.3703703703704
293,9.0,van,376.22222222222223
293,10.0,de,361.74074074074076
293,11.0,bioloog.,606.3461538461538
293,12.0,Zoals,480.2962962962963
293,13.0,wel,328.74074074074076
293,14.0,vaker,342.18518518518516
293,15.0,was,317.9259259259259
293,16.0,de,362.6666666666667
293,17.0,bioloog,362.962962962963
293,18.0,niet,355.18518518518516
293,19.0,zo,339.77777777777777
293,20.0,tactvol,356.6296296296296
293,21.0,geweest.,465.7692307692308
294,1.0,De,381.8888888888889
294,2.0,meeste,369.0740740740741
294,3.0,schoolkinderen,438.1111111111111
294,4.0,vonden,451.74074074074076
294,5.0,het,397.3703703703704
294,6.0,leuk,360.77777777777777
294,7.0,om,330.0740740740741
294,8.0,bij,316.8888888888889
294,9.0,de,320.77777777777777
294,10.0,man,312.4074074074074
294,11.0,belletje,357.18518518518516
294,12.0,te,367.3703703703704
294,13.0,trekken.,432.74074074074076
294,14.0,Een,414.6666666666667
294,15.0,jaar,304.48148148148147
294,16.0,nadien,347.1111111111111
294,17.0,kon,346.25925925925924
294,18.0,de,378.0
294,19.0,man,342.3703703703704
294,20.0,er,327.14814814814815
294,21.0,wel,321.6296296296296
294,22.0,om,326.51851851851853
294,23.0,lachen.,435.34615384615387
295,1.0,Twee,368.7037037037037
295,2.0,hobbyisten,464.3333333333333
295,3.0,kwamen,419.25925925925924
